id,name,name_url,timestamp,price,market_cap,volume24h,circulating_supply,n_wallets,wallets,news_titles,news_urls
1518,Maker,maker,2021-04-12 20:32:46.606731+00:00,2623.47,2610976021,239226630,995239,6,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Safepal', 'Binance Chain Wallet']","['Crypto Staking Guide 2021', 'Should I Invest In DeFi?', 'What Is Yield Farming?', 'Bitcoin Price Could Hit $50,000 as Tesla Sparks Market Mania, Analyst Says', 'Tesla Is Facing Criticism after Buying Bitcoin — Why?', 'ETH Futures Finally Launch — How Are They Performing on Their First Day?', 'Elon Musk Taking a Break from Social Media After Backing Bitcoin', ""Blink and You'll Miss It: Ether *Briefly* Sets a New All-Time High""]","['https://coinmarketcap.com/alexandria/article/crypto-staking-guide-2021', 'https://coinmarketcap.com/alexandria/article/should-i-invest-in-defi', 'https://coinmarketcap.com/alexandria/article/what-is-yield-farming', 'https://coinmarketcap.com/alexandria/article/bitcoin-price-could-hit-50-000-as-tesla-sparks-market-mania-analyst-says', 'https://coinmarketcap.com/alexandria/article/tesla-is-facing-criticism-after-buying-bitcoin-why', 'https://coinmarketcap.com/alexandria/article/eth-futures-finally-launch-how-are-they-performing-on-their-first-day', 'https://coinmarketcap.com/alexandria/article/elon-musk-taking-a-break-from-social-media-after-backing-bitcoin', 'https://coinmarketcap.com/alexandria/article/blink-and-youll-miss-it-ether-briefly-sets-a-new-all-time-high']"
328,Monero,monero,2021-04-12 20:23:01.467605+00:00,319.62,5715684273,896206874,17882527,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Safepal', 'GUI Wallet']","['What Are Privacy Coins?', 'What Is a Non-Fungible Token (NFT)?', 'What Is a Crypto Faucet?', 'How to Mine Monero', 'How to Mine Bitcoin', 'What Is GPU Mining?', 'Top Cybersecurity Official Calls for Ransomware Payments Ban in the U.K.', 'What Are Mined Coins?\xa0']","['https://coinmarketcap.com/alexandria/article/what-are-privacy-coins', 'https://coinmarketcap.com/alexandria/article/what-is-a-non-fungible-token-nft', 'https://coinmarketcap.com/alexandria/article/what-is-a-crypto-faucet', 'https://coinmarketcap.com/alexandria/article/how-to-mine-monero', 'https://coinmarketcap.com/alexandria/article/how-to-mine-bitcoin', 'https://coinmarketcap.com/alexandria/article/what-is-gpu-mining', 'https://coinmarketcap.com/alexandria/article/top-cybersecurity-official-calls-for-ransomware-payments-ban-in-the-u-k', 'https://coinmarketcap.com/alexandria/article/what-are-mined-coins']"
6535,NEAR Protocol,near-protocol,2021-04-12 20:31:50.775884+00:00,6.66,2313505890,130044399,347534820,4,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet']",[],[]
873,NEM,nem,2021-04-12 20:34:47.732236+00:00,0.4188,3769060495,221395531,8999999999,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'NEM Wallet', 'Safepal']",[],[]
1376,Neo,neo,2021-04-12 20:20:33.498482+00:00,62.59,4415096930,864072158,70538831,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Neon Wallet', 'Neotracker']",[],[]
2694,Nexo,nexo,2021-04-12 20:29:54.043225+00:00,3.16,1770674803,17359240,560000011,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Binance Chain Wallet']",[],[]
3897,OKB,okb,2021-04-12 20:27:18.387694+00:00,23.16,1389526290,597183976,60000000,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
1808,OMG Network,omg,2021-04-12 20:26:54.014626+00:00,9.67,1356140418,526361034,140245398,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Coinbase']",[],[]
2566,Ontology,ontology,2021-04-12 20:27:42.219882+00:00,1.85,1497945177,430179763,809807991,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'ONTO']",['A Guide To Self-Sovereign Identity: A Deep Dive by Ontology'],['https://coinmarketcap.com/alexandria/article/a-guide-to-self-sovereign-identity-a-deep-dive-by-ontology']
7186,PancakeSwap,pancakeswap,2021-04-12 20:20:06.962564+00:00,26.26,3936777125,1238180844,149906295,3,"['Ledger', 'MetaMask', 'Binance Chain Wallet']",['Uniswap vs PancakeSwap'],['https://coinmarketcap.com/alexandria/article/uniswap-vs-pancakeswap']
3330,Paxos Standard,paxos-standard,2021-04-12 20:23:13.034379+00:00,1.0,913616483,71285484,911941530,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Binance Chain Wallet']",['The Flipside Stablecoin Recipe for Success\xa0'],['https://coinmarketcap.com/alexandria/article/the-flipside-stablecoin-recipe-for-success']
3890,Polygon,polygon,2021-04-12 20:30:03.639961+00:00,0.354,1783627719,141616697,5038388130,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
2603,Pundi X[old],pundi-x,2021-04-12 20:25:39.525157+00:00,0.004807,1138086705,639059,236751963902,2,"['Trust Wallet', 'MetaMask']",[],[]
1684,Qtum,qtum,2021-04-12 20:27:32.305136+00:00,14.5,1424585242,755271411,98279217,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Qtum Core']",[],[]
2577,Ravencoin,ravencoin,2021-04-12 20:28:25.503235+00:00,0.1861,1589599525,113969994,8541710000,1,['Ledger'],[],[]
2539,Ren,ren,2021-04-12 20:24:00.348144+00:00,1.02,1019695145,113663919,997163051,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase']",[],[]
3964,Reserve Rights,reserve-rights,2021-04-12 20:24:30.551452+00:00,0.08347,1098441218,81636679,13159999000,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
2135,Revain,revain,2021-04-12 20:25:12.416647+00:00,0.01296,1102501821,5467271,85061485690,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
1042,Siacoin,siacoin,2021-04-12 20:26:17.137816+00:00,0.02682,1274745512,124218435,47522422992,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Sia.UI']",[],[]
5426,Solana,solana,2021-04-12 20:35:52.046707+00:00,27.78,7502381910,307467003,270018859,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'SolFlare', 'Sollet']",[],[]
4847,Stacks,stacks,2021-04-12 20:31:39.886931+00:00,2.1,2282750376,67011266,1087270006,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Hiro']",[],[]
6758,SushiSwap,sushiswap,2021-04-12 20:30:36.231991+00:00,16.11,2049875225,849976667,127244443,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Safepal']","['Sushi Cookbook: A Complete Tutorial on SUSHI DeFi Opportunities ', 'Crypto Outperforms Traditional Markets With DEX Tokens Leading the Way: A Data Perspective by IntoTheBlock', 'The Significance of Forks in DeFi: A Deep Dive by Outlier Ventures', 'What Is Yield Farming?', 'DeFi’s 10 Biggest Moments in 2020', 'How Decentralized Are Decentralized Networks?', 'Decentralized Liquidity Pools: A Deep Dive With FinNexus Options', 'Hedging Against Impermanent Loss: A Deep Dive With FinNexus Options']","['https://coinmarketcap.com/alexandria/article/sushiswap-cookbook-a-complete-tutorial-on-sushi-defi-opportunities', 'https://coinmarketcap.com/alexandria/article/crypto-outperforms-traditional-markets-with-dex-tokens-leading-the-way-a-data-perspective-by-intotheblock', 'https://coinmarketcap.com/alexandria/article/the-significance-of-forks-in-defi-a-deep-dive-by-outlier-ventures', 'https://coinmarketcap.com/alexandria/article/what-is-yield-farming', 'https://coinmarketcap.com/alexandria/article/defis-10-biggest-moments-in-2020', 'https://coinmarketcap.com/alexandria/article/how-decentralized-are-decentralized-networks', 'https://coinmarketcap.com/alexandria/article/decentralized-liquidity-pools-a-deep-dive-with-finnexus-options', 'https://coinmarketcap.com/alexandria/article/hedging-against-impermanent-loss-a-deep-dive-with-finnexus-options']"
2499,SwissBorg,swissborg,2021-04-12 20:24:08.301374+00:00,1.03,1032045864,8030096,1000000000,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
2586,Synthetix,synthetix-network-token,2021-04-12 20:31:24.913263+00:00,19.84,2278540177,117910441,114841533,6,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Safepal', 'Binance Chain Wallet']",[],[]
4157,THORChain,thorchain,2021-04-12 20:33:22.735156+00:00,11.83,2741473997,146793213,231825761,2,"['Ledger', 'Binance Chain Wallet']",[],[]
4172,Terra,terra-luna,2021-04-12 20:22:47.029142+00:00,14.56,5559818042,210614347,381979834,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Terra Wallet']",[],[]
7129,TerraUSD,terrausd,2021-04-12 20:29:42.672922+00:00,0.9994,1758249484,58746263,1759336854,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
2011,Tezos,tezos,2021-04-12 20:21:12.114725+00:00,6.26,4797064864,483439256,766200176,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Safepal', 'AirGap']","['Crypto Staking Guide 2021', 'A Deep Dive Into Tezos']","['https://coinmarketcap.com/alexandria/article/crypto-staking-guide-2021', 'https://coinmarketcap.com/alexandria/article/a-deep-dive-into-tezos']"
6719,The Graph,the-graph,2021-04-12 20:33:01.597887+00:00,2.12,2634839341,634827914,1245666867,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase']","['How to Solve the Blockchain Data Query Issue and What The Graph Service Has to Say', 'Ethereum ATH Propelled by Exchange Outflows & Institutional Activity: A Data Perspective by IntoTheBlock', ""CoinMarketCap's 2020 Round-Up: The Good, The Bad and The Bitcoin"", 'Is Tether About to Take Over DeFi?: Flipside Crypto', 'CoinMarketCap Earn Launches 1,000,000 GRT Campaign With The Graph', 'Bitcoin’s Next Moves: A Data Perspective by IntoTheBlock', 'A Deep Dive Into The Graph']","['https://coinmarketcap.com/alexandria/article/how-to-solve-the-blockchain-data-query-issue-and-what-the-graph-service-has-to-say', 'https://coinmarketcap.com/alexandria/article/ethereum-ath-propelled-by-exchange-outflows-institutional-activity-a-data-perspective-by-intotheblock', 'https://coinmarketcap.com/alexandria/article/coinmarketcaps-2020-round-up', 'https://coinmarketcap.com/alexandria/article/is-tether-about-to-take-over-defi-flipside-crypto', 'https://coinmarketcap.com/alexandria/article/coinmarketcap-earn-launches-1-000-000-grt-campaign-with-the-graph', 'https://coinmarketcap.com/alexandria/article/bitcoins-next-moves-a-data-perspective-by-intotheblock', 'https://coinmarketcap.com/alexandria/article/a-deep-dive-into-the-graph']"
3822,Theta Fuel,theta-fuel,2021-04-12 20:30:14.557133+00:00,0.3512,1850879996,42977067,5270590400,1,['Ledger'],[],[]
5617,UMA,uma,2021-04-12 20:28:32.810603+00:00,26.49,1590596254,50765081,60055345,4,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase']",[],[]
3957,UNUS SED LEO,unus-sed-leo,2021-04-12 20:30:49.828582+00:00,2.12,2117753848,1586723,999498893,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
3077,VeChain,vechain,2021-04-12 20:36:05.273616+00:00,0.1323,8511724616,1332516794,64315576989,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Exodus', 'Safepal']",[],[]
1817,Voyager Token,voyager-token,2021-04-12 20:24:58.197816+00:00,4.96,1102598596,39114161,222295208,3,"['Ledger', 'Trust Wallet', 'MetaMask']",[],[]
1274,Waves,waves,2021-04-12 20:28:41.539441+00:00,15.28,1601308397,123369013,104825896,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Waves Exchange']",[],[]
3717,Wrapped Bitcoin,wrapped-bitcoin,2021-04-12 20:36:17.235661+00:00,60260.42,8795049486,206394135,145951,5,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Safepal']","['What Are ERC-20 Tokens? Find Out Now as the Decentralized Finance Industry Takes Off', ""Bitcoin's 10 Biggest Moments in 2020"", 'Bitcoin’s Next Moves: A Data Perspective by IntoTheBlock', 'How to Buy Bitcoin', 'What Is Wrapped Bitcoin?']","['https://coinmarketcap.com/alexandria/article/what-are-erc-20-tokens-find-out-now-as-the-decentralized-finance-industry-takes-off', 'https://coinmarketcap.com/alexandria/article/bitcoins-10-biggest-moments-in-2020', 'https://coinmarketcap.com/alexandria/article/bitcoins-next-moves-a-data-perspective-by-intotheblock', 'https://coinmarketcap.com/alexandria/article/how-to-buy-bitcoin', 'https://coinmarketcap.com/alexandria/article/what-is-wrapped-bitcoin']"
1437,Zcash,zcash,2021-04-12 20:32:37.161738+00:00,218.92,2526490847,1133542095,11540544,6,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'ZCash Wallet', 'Coinbase']","['What Are Privacy Coins?', 'What Is a Crypto Faucet?', 'How to Mine Bitcoin', 'Mining Zcash Explained', 'What Is Tornado Cash?', ""Pornhub Goes Crypto Only and Says It Is Being 'Targeted' By Visa and Mastercard"", 'Want to Study Crypto and Blockchain? Here Is Where and How', 'How Long Does It Take to Mine One Bitcoin?']","['https://coinmarketcap.com/alexandria/article/what-are-privacy-coins', 'https://coinmarketcap.com/alexandria/article/what-is-a-crypto-faucet', 'https://coinmarketcap.com/alexandria/article/how-to-mine-bitcoin', 'https://coinmarketcap.com/alexandria/article/mining-zcash-explained', 'https://coinmarketcap.com/alexandria/article/what-is-tornado-cash', 'https://coinmarketcap.com/alexandria/article/pornhub-goes-crypto-only-and-says-it-is-being-targeted-by-visa-and-mastercard', 'https://coinmarketcap.com/alexandria/article/want-to-study-crypto-and-blockchain-here-is-where-and-how', 'https://coinmarketcap.com/alexandria/article/how-long-does-it-take-to-mine-one-bitcoin']"
2469,Zilliqa,zilliqa,2021-04-12 20:31:10.396096+00:00,0.1987,2217546544,145988129,11162665157,5,"['Ledger', 'Trezor', 'Math Wallet', 'Trust Wallet', 'Atomic wallet']",[],[]
5864,yearn.finance,yearn-finance,2021-04-12 20:28:10.588196+00:00,43217.24,1583261047,367748796,36635,5,"['Ledger', 'Trust Wallet', 'MetaMask', 'Coinbase', 'Binance Chain Wallet']","['Crypto Staking Guide 2021', 'What Is a Non-Fungible Token (NFT)?', 'Alchemix — Pulling Back the Curtain: Flipside Crypto', 'Should I Invest In DeFi?', 'What Is Yield Farming?', 'YFI Token Suffers Sell-Offs as Millions of Dollars Stolen in Yearn.Finance Exploit', 'Does Bitcoin Really Lift the Altcoin Market?', 'DeFi’s 10 Biggest Moments in 2020']","['https://coinmarketcap.com/alexandria/article/crypto-staking-guide-2021', 'https://coinmarketcap.com/alexandria/article/what-is-a-non-fungible-token-nft', 'https://coinmarketcap.com/alexandria/article/alchemix-pulling-back-the-curtain-flipside-crypto', 'https://coinmarketcap.com/alexandria/article/should-i-invest-in-defi', 'https://coinmarketcap.com/alexandria/article/what-is-yield-farming', 'https://coinmarketcap.com/alexandria/article/yfi-token-suffers-sell-offs-as-millions-of-dollars-stolen-in-yearn-finance-exploit', 'https://coinmarketcap.com/alexandria/article/does-bitcoin-really-lift-the-altcoin-market', 'https://coinmarketcap.com/alexandria/article/defis-10-biggest-moments-in-2020']"
